code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20204264,콘크리트 유토피아,드라마,장편 | 일반영화 | 드라마 | 한국,2023-08-09,2021년,엄태화,이병헌 | 박서준 | 박보영,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_db01386c13684af7a1f767027e66437c.jpg,"“아파트는 주민의 것”

대지진으로 하루아침에 폐허가 된 서울.
모든 것이 무너졌지만 단 한 곳, 황궁 아파트만은 그대로다.

소문을 들은 외부 생존자들이 황궁 아파트로 몰려들자
위협을 느끼기 시작하는 입주민들.
생존을 위해 하나가 된 그들은 새로운 주민 대표 ‘영탁’을 중심으로
외부인의 출입을 철저히 막아선 채 아파트 주민만을 위한 새로운 규칙을 만든다.

덕분에 지옥 같은 바깥 세상과 달리
주민들에겐 더 없이 안전하고 평화로운 유토피아 황궁 아파트.

하지만 끝이 없는 생존의 위기 속
그들 사이에서도 예상치 못한 갈등이 시작되는데...!

살아남은 자들의 생존 규칙
따르거나
떠나거나"
20231611,쿠툴룬: 전쟁의 여신 (The Wrestling Princess),전쟁(1),"장편 | 예술영화 | 전쟁, 액션 | 86분 13초 | 15세이상관람가 | 몽고",2023-06-28,2021년,,,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_c490e72232844c559c358b65c8c3f3c9.jpg,"역사상 가장 위대한 여전사의 실화
황금 경전을 되찾아 천하를 평정하라

칭기즈칸의 후예 ‘쿠툴룬’ 공주
운명을 거스르고 여전사로 깨어난다

공주는 제국의 영광을 위해,
잃어버린 황금 경전을 찾아
5인의 결사단과 험난한 전장으로 떠나는데…

전설이 된 그녀의 전쟁이 시작된다!"
20204541,퀴어 마이 프렌즈 (Queer My Friends),다큐멘터리(2),"장편 | 독립영화 | 다큐멘터리, 드라마, 가족 | 82분 0초 | 한국",2023-08,2022년,서아현,서아현,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_d72374103a1942c2aaab28e7300fb9b1.jpg,"진정한 자신을 찾기 위해 몸부림치는 ‘강원’과
한 번도 자신에 대해 질문 하지 않았던 ‘아현’
언럭키한 서로의 인생에 럭키한 우정이 찾아왔다!

삶의 배경도 성 정체성도 모두 다른 두 친구의
현실공감 100% 짠함 200% 사랑스러움 MAX
서로의 세상을 넓혀가는 삐뚤빼뚤 성장담"
20080035,크레이지 (C.R.A.Z.Y.),코미디(1),"장편 | 예술영화 | 코미디, 드라마 | 126분 0초 | 15세이상관람가 | 캐나다",2008-02-05,2005년,장 마크 발레,다니엘 프룰(로리안느 볼리외) | 미셸 꼬떼(제르베 볼리외) | 마크-앙드레 그롱당(자크 볼리외 ),https://www.kobis.or.kr/upload/up_img/cleansing/35/thumb_x192/thn_mov_20080035_3.jpg,"정원은 꽃으로, 집안은 아들로 채워라! 이상하게 닮은 녀석들 C.R.A.Z.Y. 1960년 12월 25일, 독실한 카톨릭 집안인 볼리외가에서 아기 예수와 같은 날에 태어난 특별한 아이 자크. 특별한 생일만큼 자크에게는 개성 넘치는 독특한 가족들이 있다. 팻시클라인을 광적으로 좋아하시는 아버지, 아들에게 초능력이 있다고 믿는 어머니, 책벌레 큰형, 까칠한 날라리 둘째형, 단순한 스포츠맨 셋째형, 먹을 것에 미친 막내 이런 가족 사이에서 유별나게 성장하는 자크의 이야기와 볼리외가의 C.R.A.Z.Y한 그들의 좌충우돌 가족사가 펼쳐진다!"
20224633,킹 오브 몬스터 (Underground Monster),액션(1),"온라인전용 | 일반영화 | 액션, 판타지 | 88분 50초 | 중국",해당정보없음,2022년,황하,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_b4d96487c4b34fff89cb0666b9433e5e.jpg,"정체불명의 괴물한테 아들을 납치당하자 허진과 그의 아내는 아들을 구하기 위해 괴물과 맞서기로 결심한다.
한편, 괴물의 먹이가 사람이 아닌 쓰레기란 사실을 알게 된 소년은 괴물을 도와주고, 둘은 종족을 뛰어넘어 친구가 되는데...... 잔인한 포식자인가? 소년의 수호신인가?"
20230397,크리스마스 랭면 (Christmas Rangmyeon),드라마,장편 | 일반영화 | 드라마 | 42분 22초 | 한국,해당정보없음,2022년,김빈,김빈(정해 ),https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"오랜 징크스였다. 남자친구 없이 보내는 크리스마스가.

20대의 모든 시간을 공장에서만 보낸 정해는 20대의 마지막 크리스마스를 특별하게 보내겠노라며 적금 만기일에 맞춰
오랜 꿈이었던 오로라를 보기 위해 밴쿠버행 티켓을 끊었다. 하지만 갑자기 생겨버린 캐나다 비자로 모든 계획이 물거품이 된다.
오랜 생산직으로 가족과 크리스마스를 한 번도 보낸 적 없던 아빠를 쏙 빼닮은 정해는 위가 안 좋으셨던 아빠가 유일하게 편히 드셨던 평양냉면을 찾아 여행을 떠난다.
완벽했던 정보로 찾은 국내 냉면 맛집 여행은 아무것도 일어나지 않은, 평범한 마무리가 되고 서울로 돌아가던 정해는 갑자기 계획에도 없던 선택을 한다.
돌아가신 아빠와 결국에는 함께 오지 못한, 15년 만에 다시 찾은 그곳은,
끝없이 펼쳐진 광활한 바다, 눈부시게 넘실대는 파도, 바다 한가운데서 넘실대는 태양. 새벽 바다 일을 끝내고 한데 모여 갓 잡은 해산물과 삼겹살로 낮술을 즐기는 뱃사람들.
그들의 소소한 삶의 풍경이 공장처럼 찍어대던 정해의 삶에 새로운 자극을 준다. 그런 이끌림으로 하루를 머물게 되고 바다 끝 마을에서 우연히 새터민이 운영하는 평양냉면 집을 발견한다.
그리고 그곳에서 정해의 크리스마스의 징크스를 깨줄 남자를 만나게 된다."
20200154,킬링 로맨스 (Killing Romance),코미디,장편 | 일반영화 | 코미디 | 107분 20초 | 15세이상관람가 | 한국,2023-04-14,2021년,이원석,이하늬 | 이선균 | 공명,https://www.kobis.or.kr/common/mast/movie/2023/04/thumb_x192/thn_199b6c83ffb649aea6e2728b9202f3b4.jpg,"로맨스는 없다!
JOHN NA 죽여주는 작전만 있을 뿐!

대재앙 같은 발연기로 국민 조롱거리로 전락한 톱스타 ‘여래’(이하늬).
현실에서 벗어나고자 떠난 남태평양 ‘콸라’섬에서 운명처럼 자신을 구해준
재벌 ‘조나단’(이선균)을 만나 결혼을 하고 새로운 인생을 꿈꾸며 돌연 은퇴를 선언한다.

한편, 서울대가 당연한 집안에서 홀로 고독한 입시 싸움 중인 4수생 ‘범우’(공명)는
한때 자신의 최애였던 여래가 옆집에 이사온 것을 알게 되고
날마다 옥상에서 단독 팬미팅(?)을 여는 호사를 누린다.

그러던 어느 날 조나단의 사업 확장을 위한 인형 역할에 지친
여래는 완벽한 스크린 컴백을 위해 범우에게 SOS를 보내게 되고
이들은 여래의 인생을 되찾기 위한 죽여주는 계획을 함께 모의하는데…"
20232302,킴스비디오 (Kim's Video),다큐멘터리,"장편 | 일반영화 | 다큐멘터리 | 88분 0초 | 미국, 프랑스, 영국",해당정보없음,2023년,,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"지금은 사라진 킴스비디오가 갖고 있던 방대한 비디오 컬렉션의 행방을 추적하는 데이비드 레드몬을 따라간다. 킴스비디오는 55,000편이 넘는 인기 영화와 희귀 영화를 갖춘 뉴욕의 상징적인 비디오 대여점이었다. 감독은 컬렉션의 미래에 영향을 줄 수 있기를 바라며 수수께끼의 인물 김용만 대표를 쫓는다."
20231414,키네마의 신 (It's a Flickering Life),드라마,장편 | 예술영화 | 드라마 | 125분 22초 | 12세이상관람가 | 일본,해당정보없음,2021년,야마다 요지,사와다 켄지 | 스다 마사키 | 나가노 메이 | 노다 요지로,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,젊은 영화감독 지망생과 그 친구인 영사기사를 중심으로 영화사 주위의 여러 인생과 에피소드를 그려낸 일본판 '시네마 천국'
20080653,쿵푸 팬더 (Kung Fu Panda),애니메이션(3),"장편 | 일반영화 | 애니메이션, 코미디, 액션, 가족 | 92분 0초 | 전체관람가 | 미국",2008-06-05,2008년,마크 오스본|존 스티븐슨,더스틴 호프만 | 루시 루 | 잭 블랙 | 안젤리나 졸리 | 성룡 | 김기현,https://www.kobis.or.kr/upload/up_img/cleansing/53/thumb_x192/thn_mov_20080653_3.jpg,"하.면.된.다 - 포.스.작.렬

‘평화의 계곡’에서 아버지의 국수 가게를 돕고 있는 팬더, 포. 아버지는 국수의 비법을 알려주어 가업을 잇게 하고 싶지만, 포의 관심사는 오로지 '쿵푸 마스터'. 가게 일은 뒷전으로 하고 쿵푸의 비법이 적힌 용문서의 전수자를 정하는 ‘무적의 5인방’ 대결을 보러 시합장을 찾은 포, 그런데 이게 웬일! 마을의 현인 우그웨이 대사부가 포를 용문서의 전수자로 점지하는 이변이 일어난다. 무적의 5인방은 물론 시푸 사부 역시 이 사태를 받아들이지 못하는 가운데, 용문서를 노리고 어둠의 감옥에서 탈출한 타이렁이 마을을 습격해오자 그를 막아야 하는 미션이 포에게 떨어지는데... 포는 쿵푸마스터로 거듭날 수 있을까? 아니... 포가 쿵푸를 할 수는 있을까? 똥배 안에 숨겨진 포스를 깨우기 위한 포의 도전이 시작된다!"
2023C582,커피멜로디 (Coffee Melody),멜로/로맨스(1),"온라인전용 | 일반영화 | 멜로/로맨스, 드라마 | 396분 54초 | 태국",해당정보없음,2022년,,,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_781e67e8c51c4bc79e3894d16acee4df.jpg,"Duan Yi(Panupun Vongjorn)는 작곡가로서 자신의 이름을 꽤 날리고 있다. 그가 프로젝트를 맡길 바라는 회사들이 종종 그에게 접근하기도 하며 그는 늘 일이 넘치고, 프로젝트를 완료할 때마다 그의 명성은 더 커질 뿐이다. 이런 재능으로 음악은 항상 마르지 않았고, 그래서 사랑 노래를 작곡하는 새로운 프로젝트를 요청받았을 때 그는 아무런 문제 없이 알겠다고 대답한다. 하지만 곡을 쓰기 위해 앉자마자, 그는 자신이 완전히 백지상태라는 것을 느끼게 된다.

주변 그 어떤 사람에게서도 영감을 전혀 받지 못한 Duan Yi는 사랑에 관한 노래를 쓰는 데 필요한 뮤즈를 찾기 힘들다. 이 갑작스러운 영감의 부족으로 낙담한 그는 곧 일에 대한 모든 열정을 잃고 있는 자신을 발견한다. 이 곡, 아니 어떤 곡도 어떻게 써야 할지 감이 잡히지 않는 그는 잠시 휴식을 취하기로 한다. 물론 그가 이 노래를 완전히 포기한 후에야 비로소 그가 찾아 헤매던 영감을 발견하게 되고, 그 존재는 바로 Pleng Ruk (Naret Promphaopun)이다. 동네 카페에서 일하는 잘생긴 바리스타인 Pleng Ruk은 Duan Yi가 겪어보지 못한 방식으로 그에게 영감을 준다."
20158357,카일리 블루스 (Kaili Blues),드라마(1),"장편 | 예술영화 | 드라마, 미스터리 | 110분 9초 | 12세이상관람가 | 중국",2023-05-24,2015년,필감,,https://www.kobis.or.kr/common/mast/movie/2023/04/thumb_x192/thn_46bbba1f4f694bb7a4f7c31040e4e91c.jpg,"안개가 자욱한 도시 카일리.
의사 겸 시인 천성은 그곳에서 유령 같은 삶을 살고 있다.

꿈에서 연거푸 돌아가신 어머니를 마주한 천성은
버려진 조카를 찾기 위해 카일리를 떠나 전위안으로 향한다.

그길에서 당마이라는 자그마한 마을을 통과하게 되고
천성의 과거, 현재, 미래가 꿈결 같이 뒤섞이기 시작한다."
20227685,캣 대디 (Cat Daddies),다큐멘터리,장편 | 예술영화 | 다큐멘터리 | 88분 58초 | 전체관람가 | 미국,해당정보없음,2022년,,,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_9f0dd526582d4825a4027e0e941eb881.jpg,"전례 없는 팬데믹 시기, 인생을 완전히 뒤바꾼 친구를 만났다!
냥스타그램으로 유명세를 얻은 배우 겸 인플루언서부터 고양이와 여행을 떠난 트럭 운전사,
길냥이와 새로운 삶을 꿈꾸게 된 홈리스까지!
고양이와 사랑에 빠진 섬세한 남자들의 특별한 동거 이야기가 시작된다!"
2023C450,쿵후시티:허슬파이터 (The City Of Kungfu),액션,온라인전용 | 일반영화 | 액션 | 90분 26초 | 중국,해당정보없음,2020년,,,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_f9403e3483384c5dbd270e7d2d0bff70.jpg,"쿵푸의 도시로 불리는 복성 노가, 노가에서 자란 리일은 할아버지의
유언으로 무술을 익히기 위해 인터넷에서 무술을 독학하지만 실력은
빈약했다. 어느 날 킥복싱 선수 왕서가 거리에서 패거리에게 당하는
리일을 도와주는데 그 모습을 보고 킥복싱에 반한 리일은 왕서에게 킥복싱을 가르쳐 달라고 한다.
이에 왕서는 서양에서 온 노리스 선생을 도와 노가의 무술 부흥을 도와주면 킥복싱 선수로 키워주겠다는 제안을 한다.
노가의 무술 부흥과 킥복싱 선수가 되고 싶었던 리일은 단번에 그 제안을 받아들인다. 하지만 노가에 찾아온 건 무술 부흥이 아니라 몰락이었다.
영문도 모른 채 왕서에게 당한 리일은 복수심에 불타 제대로 된 노가의
무술을 훈련하게 되는데..."
20231667,콘돌스 네스트 (CONDOR'S NEST),액션(2),"장편 | 일반영화 | 액션, 스릴러, 전쟁 | 102분 18초 | 15세이상관람가 | 미국",2023-06,2022년,필 블래튼버거,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"2차 세계대전에서 전우를 몰살하고 전후에 남미로 도피한 나치 대령을 쫓아 비밀 요새에
은신한 그와 나치 잔당을 처단하는 이야기를 그린 영화"
20227952,클로즈 (Close),드라마,"장편 | 예술영화 | 드라마 | 103분 54초 | 12세이상관람가 | 벨기에, 네덜란드, 프랑스",2023-05-03,2022년,루카스 돈트,에덴 담브린 | 구스타브 드 와엘,https://www.kobis.or.kr/common/mast/movie/2023/04/thumb_x192/thn_249f3d84351f4544b5677f43eb164a65.jpg,"서로가 세상의 전부였던 레오와 레미는 친구들에게 관계를 의심받기 시작한다.
이후 낯선 시선이 두려워진 레오는 레미와 거리를 두고,
홀로 남겨진 레미는 걷잡을 수 없는 감정에 빠져들고 만다.
점차 균열이 깊어져 가던 어느 날,
레오는 믿을 수 없는 현실을 마주하게 되는데..."
20231595,크줄 쿠르테 (Gyzyl kurte),기타,장편 | 일반영화 | 기타 | 80분 0초 | 기타,해당정보없음,2022년,,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"전통적 가치를 가지고 있는 투르크메니스탄 전통 의상인 '쿠르테'와 '샤바트'를 통해 투르크메니스탄의 문화를 보여준다. 평생 함께할 배우자에 대한 투르크멘 여성의 충성심, 가족을 지키는 화덕의 중요성, 그리고 투르크멘의 특성을 잘 보여 줄 수 있는 사건들이 신부 '고버'를 통해 보여진다. 또한 말과 개 같이 사람들과 어울리며 공동체의 일환으로 여겨졌던 가축과 인간의 교류를 통해 투르크메니스탄 고유의 문화 방식을 잘 보여주고 있다."
20226499,크로스,액션,장편 | 일반영화 | 액션 | 한국,해당정보없음,2022년,이명훈,황정민 | 염정아 | 전혜진,https://www.kobis.or.kr/common/mast/movie/2022/08/thumb_x192/thn_c71ece35a7e14b63ad0876ae4e5a4c07.jpeg,"화려한(?) 과거를 숨기고 착실한 가정주부로 살아가는 전직 요원 '강무'(황정민)와 카리스마 넘치는 강력범죄수사대 에이스이자 집안의 실세 '미선'(염정아), 두 부부 앞에 갑자기 나타난 '희주'(전혜진)가 몰고온 사건으로 인해 시작되는 이야기를 그린 부부 9단 액션 영화"
